STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",11/28/2017,0.24,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/12/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/13/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/14/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/15/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/16/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/17/2017,0.17,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/18/2017,1.06,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/19/2017,1.66,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/20/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/21/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/22/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/26/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",12/31/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/1/2018,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/2/2018,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/3/2018,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/4/2018,0.39,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/5/2018,1.2,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/6/2018,0.23,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/7/2018,0.27,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/9/2018,0.11,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/10/2018,0.13,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/12/2018,0.91,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/13/2018,0.15,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/14/2018,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/15/2018,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/16/2018,0.16,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/17/2018,0.15,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/18/2018,0.98,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/19/2018,1.27,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/21/2018,1.05,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/22/2018,1.63,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/24/2018,2.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/25/2018,0.74,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/26/2018,0.42,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/27/2018,0.41,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/28/2018,0.66,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/29/2018,0.6,,,,,
