"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-20",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-21",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-22",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-23",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-24",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-25",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-29",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-30",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-07-31",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-08",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-09",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-10",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-11",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-12",,,"0.07",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-14",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-08-16",,,"0.00","0.0",,,,,,,,,,,,
